country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
ITALY,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,7,Yes,Higher Cost
CANADA,45-64,With Spouse,1,0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,0,Yes,High Cost
FINLAND,45-64,With Other Friends/Relatives,0,2,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Independent,Yes,No,No,Yes,Yes,Yes,No,12,0,No,Higher Cost
UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,0,Yes,Higher Cost
SOUTH AFRICA,45-64,Alone,0,1,Meetings and Conference,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost
ITALY,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,7,0,Yes,High Cost
ZIMBABWE,18-24,Alone,0,1,Business,Wildlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
JAPAN,18-24,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,11,4,Yes,Normal Cost
INDIA,25-44,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Normal Cost
ZAMBIA,25-44,With Spouse,1,1,Business,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,No,High Cost
KENYA,25-44,Alone,0,1,Visiting Friends and Relatives,Bird Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
BELGIUM,18-24,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,0,Yes,Normal Cost
SWIZERLAND,18-24,Alone,1,0,Scientific and Academic,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,40,2,Yes,Normal Cost
SWEDEN,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Higher Cost
ITALY,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,7,Yes,High Cost
GERMANY,25-44,With Children,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,9,7,No,High Cost
INDIA,45-64,Alone,0,1,Leisure and Holidays,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,0,Yes,Normal Cost
KENYA,25-44,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Low Cost
AUSTRIA,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,3,0,Yes,High Cost
ARGENTINA,25-44,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,7,Yes,Normal Cost
FRANCE,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Business,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,8,3,Yes,Normal Cost
AUSTRALIA,25-44,Alone,0,1,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,35,0,No,Lower Cost
FRANCE,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,4,Yes,High Cost
AUSTRALIA,25-44,Alone,0,1,Business,Hunting Tourism,Inflight magazines,Independent,No,No,No,No,No,No,No,4,0,No,Normal Cost
DENMARK,25-44,Alone,1,0,Volunteering,Cultural Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,32,12,Yes,Normal Cost
UNITED KINGDOM,45-64,With Spouse,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,Higher Cost
SWIZERLAND,18-24,With Other Friends/Relatives,2,0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,6,0,Yes,Higher Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
ROMANIA,25-44,With Other Friends/Relatives,1,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,Yes,Yes,0,7,Yes,Higher Cost
AUSTRALIA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,0,Yes,Highest Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,0,Yes,Higher Cost
JAPAN,25-44,With Other Friends/Relatives,0,1,Meetings and Conference,Wildlife Tourism,Trade fair,Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
TURKEY,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost
UNITED STATES OF AMERICA,45-64,With Other Friends/Relatives,2,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,14,3,Yes,Higher Cost
SOUTH AFRICA,45-64,With Spouse,0,1,Business,Hunting Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,Yes,Lower Cost
UNITED STATES OF AMERICA,65+,With Spouse and Children,8,8,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,0,Yes,High Cost
FRANCE,45-64,With Spouse,1,1,Leisure and Holidays,Business,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,9,Yes,High Cost
UNITED STATES OF AMERICA,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Yes,Higher Cost
FRANCE,45-64,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Normal Cost
UNITED STATES OF AMERICA,45-64,With Spouse,0,0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost
KENYA,25-44,Alone,0,1,Business,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Low Cost
UGANDA,25-44,With Other Friends/Relatives,0,1,Other,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,5,0,Yes,Lower Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,Normal Cost
AUSTRALIA,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Conference Tourism,Others,Independent,No,No,No,No,No,No,No,6,0,Yes,Higher Cost
CANADA,45-64,With Spouse and Children,3,2,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,15,6,No,Higher Cost
UNITED KINGDOM,45-64,With Other Friends/Relatives,0,2,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,2,Yes,Normal Cost
UNITED STATES OF AMERICA,45-64,With Spouse,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,No,No,7,0,No,High Cost
KENYA,18-24,Alone,1,0,Leisure and Holidays,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
UNITED KINGDOM,18-24,With Other Friends/Relatives,0,2,Leisure and Holidays,Cultural Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,9,7,Yes,Normal Cost
FRANCE,45-64,Alone,1,0,Leisure and Holidays,Business,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,No,No,0,14,Yes,Lower Cost
ITALY,45-64,With Spouse and Children,1,2,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,0,Yes,High Cost
IRELAND,25-44,Alone,0,1,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,60,0,Yes,High Cost
SWIZERLAND,45-64,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,18,3,Yes,Higher Cost
ITALY,25-44,With Other Friends/Relatives,2,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,14,Yes,Normal Cost
ITALY,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,No,No,0,7,Yes,High Cost
UNITED KINGDOM,18-24,With Other Friends/Relatives,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,0,No,High Cost
AUSTRALIA,25-44,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,0,Yes,High Cost
ITALY,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,Higher Cost
SOUTH AFRICA,45-64,With Spouse and Children,1,2,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,6,No,High Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,16,0,Yes,Higher Cost
UNITED KINGDOM,45-64,With Other Friends/Relatives,2,0,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,10,0,Yes,High Cost
BURUNDI,18-24,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
ITALY,45-64,With Spouse and Children,3,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,3,Yes,Higher Cost
UNITED KINGDOM,25-44,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,Yes,Yes,Yes,Yes,Yes,Yes,No,15,4,Yes,High Cost
SOUTH AFRICA,45-64,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,4,No,Normal Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,7,Yes,High Cost
DENMARK,18-24,With Other Friends/Relatives,4,0,Other,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,46,10,Yes,High Cost
ZAMBIA,45-64,Alone,0,1,Business,Cultural Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,7,0,No,Lower Cost
KENYA,25-44,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,3,No,Lower Cost
JAPAN,45-64,Alone,1,0,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,5,No,Normal Cost
UNITED KINGDOM,25-44,With Other Friends/Relatives,2,0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,4,Yes,Higher Cost
ITALY,25-44,With Spouse,1,1,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,20,No,High Cost
INDIA,25-44,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,7,0,No,Normal Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,Others,Independent,No,No,No,No,No,No,No,0,8,Yes,Normal Cost
UNITED KINGDOM,65+,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,8,0,Yes,Higher Cost
SPAIN,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,4,Yes,Normal Cost
SPAIN,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,Others,Independent,No,No,No,No,No,No,No,50,0,Yes,Normal Cost
CANADA,25-44,Alone,0,1,Leisure and Holidays,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost
UAE,25-44,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,No,Low Cost
AUSTRALIA,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,7,0,Yes,Higher Cost
CANADA,45-64,With Children,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,Normal Cost
UNITED STATES OF AMERICA,65+,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,0,No,High Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,8,1,Yes,Normal Cost
UNITED KINGDOM,45-64,Alone,0,1,Meetings and Conference,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,0,Yes,Normal Cost
GERMANY,25-44,Alone,0,1,Scientific and Academic,Conference Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,Yes,Low Cost
UNITED KINGDOM,45-64,With Spouse and Children,2,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,0,14,Yes,Higher Cost
UNITED KINGDOM,65+,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,5,5,Yes,Higher Cost
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,23,0,Yes,High Cost
ZAMBIA,25-44,Alone,1,0,Business,Wildlife Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
SWEDEN,45-64,With Spouse and Children,1,2,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,0,8,Yes,High Cost
FRANCE,45-64,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,14,0,Yes,Higher Cost
ITALY,25-44,With Other Friends/Relatives,2,4,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,33,0,Yes,Normal Cost
NORWAY,25-44,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,26,0,Yes,High Cost
NETHERLANDS,45-64,With Spouse and Children,2,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,Yes,20,0,No,Higher Cost
UNITED STATES OF AMERICA,25-44,Alone,0,1,Meetings and Conference,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,0,No,Normal Cost
UNITED KINGDOM,18-24,Alone,1,0,Visiting Friends and Relatives,Business,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,23,No,High Cost
UNITED KINGDOM,65+,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,2,No,Normal Cost
SOUTH AFRICA,18-24,Alone,1,0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,20,0,No,Lower Cost
GERMANY,25-44,With Spouse,1,0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,11,Yes,Low Cost
UNITED KINGDOM,45-64,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,12,0,Yes,Normal Cost
ITALY,25-44,With Other Friends/Relatives,4,2,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,9,0,Yes,High Cost
FRANCE,65+,With Other Friends/Relatives,2,0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,No,Yes,No,No,Yes,No,8,5,Yes,Higher Cost
UNITED KINGDOM,45-64,With Other Friends/Relatives,2,0,Other,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,Yes,Normal Cost
INDIA,45-64,Alone,0,1,Business,Widlife Tourism,Others,Independent,No,No,No,No,No,No,No,4,0,Yes,Normal Cost
UGANDA,25-44,Alone,0,1,Meetings and Conference,Mountain Climbing,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,0,No,Lower Cost
BELGIUM,18-24,With Other Friends/Relatives,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,28,0,Yes,Low Cost
SOUTH AFRICA,25-44,With Spouse,1,1,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,11,0,No,Normal Cost
KENYA,25-44,Alone,0,1,Meetings and Conference,Conference Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost
CZECH REPUBLIC,25-44,With Other Friends/Relatives,5,2,Leisure and Holidays,Widlife Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,15,0,Yes,High Cost
KENYA,25-44,Alone,1,0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,2,0,Yes,Lower Cost
CHINA,25-44,With Children,0,1,Meetings and Conference,Widlife Tourism,"Travel agent, tour operator",Independent,Yes,No,No,No,No,No,No,5,0,Yes,Normal Cost
KENYA,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,3,1,No,Normal Cost
INDIA,25-44,Alone,0,1,Business,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Low Cost
UNITED STATES OF AMERICA,45-64,With Other Friends/Relatives,2,3,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,0,Yes,Highest Cost
ITALY,45-64,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,14,6,Yes,Higher Cost
CONGO,25-44,Alone,0,1,Business,Hunting Tourism,Trade fair,Independent,No,No,No,No,No,No,No,9,0,No,Lower Cost
UNITED KINGDOM,<18,With Other Friends/Relatives,2,0,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Package Tour,No,No,No,No,No,No,No,4,0,Yes,Normal Cost
ZAMBIA,25-44,Alone,0,1,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Normal Cost
ITALY,25-44,Alone,0,1,Business,Widlife Tourism,Trade fair,Independent,No,No,No,No,No,No,No,4,0,No,Normal Cost
ITALY,45-64,With Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Bird Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,14,0,Yes,High Cost
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Higher Cost
SWEDEN,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,6,Yes,Higher Cost
SOUTH AFRICA,25-44,With Spouse,1,1,Leisure and Holidays,Beach Tourism,Others,Independent,No,No,No,No,No,No,No,0,6,Yes,Normal Cost
NORWAY,45-64,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,No,Yes,No,No,Yes,No,9,0,Yes,High Cost
FRANCE,25-44,With Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,9,5,Yes,High Cost
UNITED STATES OF AMERICA,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,Yes,Normal Cost
ZIMBABWE,25-44,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,0,No,Normal Cost
UNITED KINGDOM,25-44,With Spouse,1,1,Leisure and Holidays,Cultural Tourism,Others,Independent,No,No,No,No,No,No,No,3,0,No,Low Cost
MALAYSIA,45-64,With Other Friends/Relatives,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,No,Yes,No,0,5,No,High Cost
CANADA,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting Tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,17,0,No,Normal Cost
UAE,25-44,With Other Friends/Relatives,0,4,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,High Cost
ITALY,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,No,Yes,No,7,7,Yes,Higher Cost
ITALY,45-64,With Spouse and Children,2,2,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,Higher Cost
ZIMBABWE,25-44,Alone,0,1,Business,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,3,0,Yes,Lower Cost
UGANDA,18-24,Alone,0,1,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
UNITED STATES OF AMERICA,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Yes,Higher Cost
BELGIUM,45-64,With Spouse,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,10,Yes,Normal Cost
KENYA,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,No,Yes,Yes,No,7,0,No,Normal Cost
SOUTH AFRICA,45-64,With Spouse,1,1,Visiting Friends and Relatives,Bird Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,28,0,No,Normal Cost
KENYA,45-64,Alone,0,1,Meetings and Conference,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,3,No,Low Cost
ZIMBABWE,45-64,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Low Cost
ITALY,45-64,With Spouse and Children,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,7,Yes,High Cost
PORTUGAL,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,6,Yes,Normal Cost
FRANCE,45-64,Alone,0,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,No,Yes,Yes,No,Yes,No,5,0,No,Normal Cost
INDIA,45-64,With Spouse,1,1,Visiting Friends and Relatives,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
FRANCE,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,8,Yes,Higher Cost
GREECE,25-44,With Other Friends/Relatives,0,2,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,0,Yes,Normal Cost
UNITED STATES OF AMERICA,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,Others,Package Tour,No,Yes,Yes,No,No,Yes,No,9,0,Yes,High Cost
CHINA,25-44,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,No,Yes,Yes,No,4,3,Yes,High Cost
JAPAN,65+,With Spouse,1,1,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,8,0,Yes,Higher Cost
FRANCE,25-44,With Spouse,1,1,Leisure and Holidays,Business,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,7,Yes,High Cost
CANADA,18-24,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,26,0,No,Lower Cost
ZIMBABWE,25-44,With Other Friends/Relatives,1,1,Business,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,Yes,Lower Cost
FRANCE,25-44,With Spouse,1,1,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Package Tour,No,No,Yes,Yes,No,Yes,No,13,5,Yes,Higher Cost
UNITED STATES OF AMERICA,65+,With Other Friends/Relatives,1,0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,No,Normal Cost
